steps,total_reward,max_alert_level,final_alert_level,total_data_exfiltrated,final_nodes_compromised,nodes_compromised_history,alert_level_history,data_exfiltrated_history,resources_left,action_distribution,model
10,1.0999999999999999,0.44999999999999996,0.44999999999999996,0.0,1,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.3, 0.44999999999999996]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,"[6, 1, 3, 0, 0, 0]",DQN
10,3.823690534951523,0.15123690534951523,0.15123690534951523,0.012369053495152313,1,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15, 0.15, 0.15123690534951523]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.012369053495152313]",0,"[6, 1, 2, 0, 1, 0]",DQN
10,0.050000000000000044,0.0,0.0,0.0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1,"[9, 0, 0, 0, 0, 1]",DQN
10,0.050000000000000044,0.05,0.0,0.0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.05, 0.05, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-1,"[9, 0, 0, 0, 0, 1]",DQN
10,5.079863110265045,0.15679863110265044,0.15679863110265044,0.06798631102650443,1,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.15, 0.15, 0.15365003176284917, 0.15475063057239444, 0.1555149457119776, 0.15630165404620772, 0.15679863110265044]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.036500317628491714, 0.047506305723944375, 0.055149457119776, 0.06301654046207714, 0.06798631102650443]",0,"[2, 1, 2, 0, 5, 0]",DQN
10,0.4500000000000001,0.15000000000000002,0.15000000000000002,0.0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.15000000000000002]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,"[9, 1, 0, 0, 0, 0]",DQN
10,4.647911019466107,0.004979110194661069,0.004979110194661069,0.04979110194661068,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.00144141336332215, 0.0029969352248257084, 0.004692957801345335, 0.004779565356017874, 0.004979110194661069]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.014414133633221502, 0.029969352248257086, 0.04692957801345335, 0.047795653560178744, 0.04979110194661068]",0,"[3, 1, 1, 0, 5, 0]",DQN
10,1.3973870751005013,0.4519738707510051,0.4519738707510051,0.019738707510050132,1,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.1, 0.2, 0.30000000000000004, 0.30000000000000004, 0.45000000000000007, 0.4519738707510051]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.019738707510050132]",0,"[4, 4, 1, 0, 1, 0]",DQN
10,3.8219289339121567,0.45521928933912154,0.45521928933912154,0.05219289339121572,1,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.15, 0.3, 0.44999999999999996, 0.44999999999999996, 0.4510846593081242, 0.4523952610223247, 0.45521928933912154]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01084659308124229, 0.023952610223247024, 0.05219289339121572]",0,"[2, 1, 4, 0, 3, 0]",DQN
10,4.989126972194342,0.15639126972194345,0.15639126972194345,0.06391269721943431,1,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0.0, 0.0, 0.0, 0.0, 0.15, 0.15, 0.15308541771129833, 0.15520167617338404, 0.15528252692786884, 0.15639126972194345]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.030854177112983234, 0.0520167617338404, 0.05282526927868834, 0.06391269721943431]",0,"[3, 1, 2, 0, 4, 0]",DQN
