#{"t_start": 1747523962.9248097, "env_id": "None"}
r,l,t
7.811612,9,5.356424
2.15,8,5.391283
0.3,10,5.446422
-0.9500001,10,5.49168
0.3,9,5.536612
0.19999999,12,5.608741
2.1000001,10,5.654216
2.1,9,5.698496
0.049999915,12,5.751919
0.9499999,9,5.789108
1.9999999,10,5.842103
0.19999999,11,5.898427
1.9,11,5.961857
0.99999994,9,6.002294
3.0857387,9,6.036298
0.44999996,9,6.075297
2.410628,9,6.112965
1.0,8,6.148297
1.0500001,8,6.199628
1.05,8,6.240197
1.55,9,6.308543
0.24999997,10,6.35149
-0.35000008,10,6.397834
1.2499998,11,6.436815
0.25,10,6.476525
-1.0430813e-07,11,6.523082
2.6499999,11,6.587485
1.05,9,6.622473
-1.0500001,11,6.68545
0.19999999,10,6.753744
-0.75000006,11,6.815843
0.9999999,8,6.854498
1.15,7,6.914716
1.35,12,7.053519
4.4104,10,7.095659
0.35000002,9,7.131987
0.7999999,10,7.168346
0.19999999,11,7.217901
-0.3,10,7.266835
1.5500001,9,7.315537
1.65,8,7.366967
1.05,8,7.423065
1.4000001,10,7.518796
0.95000005,9,7.584615
0.39999992,10,7.64499
-0.35,10,7.687623
-0.65000004,13,7.73887
-1.0000001,11,7.786849
0.29999998,11,7.83399
0.35,11,7.885561
3.15,10,7.934466
0.9499999,11,7.996281
1.5,11,8.04834
-0.40000004,10,8.103369
2.75,9,8.164008
0.25000003,9,8.230675
1.55,10,8.289526
-0.30000004,11,8.353496
1.0,8,8.403872
0.5999999,12,8.479797
0.94999987,9,8.534916
0.35000002,9,8.584511
4.430845,9,8.631875
2.6131039,10,8.701264
1.6999999,9,8.74086
2.3099353,10,8.786154
0.24999997,10,8.820884
0.34999996,9,8.856111
-0.45,11,8.897115
0.45000005,9,8.936409
-0.19999999,10,9.024247
0.19999999,11,9.095288
1.15,7,9.122566
0.5,8,9.161789
1.5500001,10,9.211558
1.3499998,9,9.242948
1.05,10,9.281986
2.2,10,9.35195
1.15,7,9.378842
0.54999995,8,9.411812
0.39999998,10,9.455623
0.34999996,9,9.48652
-0.9000001,11,9.543585
-0.34999996,10,9.582516
0.15,11,9.638277
0.29999998,9,9.674312
1.4999999,9,9.721577
-0.4000001,11,9.820197
2.212551,11,9.897949
-0.049999963,9,9.942371
0.44999996,8,9.985759
7.192246,11,10.035586
1.3499998,10,10.070881
2.25,9,10.105555
0.35000002,9,10.140399
1.1500001,10,10.182394
0.5,10,10.251974
0.40000007,9,10.32751
0.39999995,9,10.366197
0.25000003,10,10.407156
1.7499999,8,10.43674
3.55,9,10.47395
-0.35000002,10,10.512592
-0.049999997,10,10.548151
2.15,9,10.584286
-0.25000006,9,14.084323
-0.9000001,11,14.151132
0.5,8,14.198875
1.8499999,7,14.246699
0.1,9,14.297146
1.6999999,7,14.323775
2.3000002,8,14.403269
4.5546746,9,14.453155
1.4999999,9,14.502382
2.1499999,10,14.541515
5.116722,9,14.582751
1.6,8,14.634985
-0.20000002,11,14.691786
-0.15,9,14.753937
1.75,7,14.79365
0.9,9,14.838637
3.3452494,10,14.878045
7.0440903,8,14.910902
1.25,11,14.958799
2.6499999,9,14.993874
1.8499999,7,15.01779
4.4,10,15.083212
2.5499997,11,15.149053
1.15,7,15.190548
1.0999999,9,15.238153
3.879825,10,15.283694
2.9500003,8,15.338146
0.35000002,9,15.398076
2.95,8,15.444897
2.85,8,15.49289
3.3500001,7,15.524063
0.35000002,9,15.573704
1.6999999,8,15.617355
5.2105856,10,15.653237
2.65,8,15.684835
0.9499999,9,15.719966
0.9,9,15.760406
-0.15000002,10,15.801752
-0.1,10,15.846692
-0.5000001,11,15.896853
1.25,7,15.928505
0.9,9,15.967992
1.0,8,16.00991
1.0,9,16.053935
2.9,9,16.1081
0.84999996,10,16.174141
0.95,8,16.223987
2.0500002,11,16.289197
0.6999999,8,16.342918
1.15,7,16.408023
1.0,8,16.465392
1.65,8,16.521819
1.0,11,16.573487
0.9499999,9,16.63898
0.14999998,10,16.697579
1.45,10,16.760899
0.20000002,10,16.830647
0.85,9,16.880525
0.7,12,16.960038
1.8,6,17.000183
0.9999999,9,17.050341
1.75,8,17.08806
4.711212,11,17.159835
1.7,8,17.202675
0.25,10,17.257841
3.45,9,17.302691
0.99999994,8,17.340204
2.7973385,10,17.426605
0.5,9,17.491581
0.85,11,17.552649
1.7,8,17.593385
0.9999999,8,17.634017
4.380805,10,17.683423
1.85,9,17.720728
2.8,8,17.756538
1.1,8,17.791643
0.95,9,17.858426
3.3855572,9,17.917753
0.85,10,17.970872
2.0000002,8,18.014745
2.4,6,18.045693
1.75,7,18.094112
1.05,9,18.138845
2.2787352,9,18.176769
1.95,6,18.203122
4.4500003,8,18.23884
-1.0000001,11,18.30723
1.7,8,18.365111
0.3,9,18.43956
2.1999998,9,18.562963
2.6,10,18.643653
1.9,8,18.690121
1.7,8,18.738105
2.5252059,10,18.819399
3.2941036,8,18.868445
1.9499999,8,18.904601
1.75,11,18.957812
1.8,6,18.993002
2.1499999,8,19.045565
1.1,11,19.107117
1.0,8,19.151246
0.54999995,9,19.206517
1.6500001,8,19.250214
2.35,8,19.310065
2.15,9,19.363312
0.99999994,9,19.41704
0.9,9,19.460545
1.75,7,19.496022
3.9492636,8,19.545901
3.45,11,19.664376
2.9527256,10,19.745045
1.0,8,19.784455
2.15,11,19.838911
1.7,8,19.897177
1.05,9,19.964132
3.0500002,7,20.004752
0.3,9,24.181872
2.1999998,8,24.238487
5.5057893,10,24.323797
3.735623,11,24.422606
1.5999999,8,24.496025
1.15,7,24.53574
1.15,7,24.585947
0.90000004,9,24.634403
1.6999999,7,24.68137
1.5999999,10,24.756301
2.5,5,24.803321
1.8,7,24.84884
1.85,6,24.881472
1.95,9,24.920645
2.4,7,24.952613
1.15,9,24.996219
9.752146,11,25.043685
1.2,7,25.092754
0.4,9,25.151273
1.6499999,9,25.258035
0.75,10,25.343574
2.25,8,25.390888
2.35,7,25.441903
0.54999995,8,25.597257
1.95,8,25.772862
1.0,9,25.858991
4.75,9,25.930209
1.15,8,26.012388
4.1816387,8,26.067795
2.1499999,9,26.122173
5.4505525,9,26.179734
1.15,7,26.228479
6.1000004,12,26.311337
2.1000001,9,26.37145
1.75,8,26.411338
1.05,8,26.467786
0.55,9,26.552581
1.5999999,8,26.619477
4.9770346,10,26.698455
1.0999999,7,26.751621
8.30024,8,26.811643
1.15,7,26.86563
2.5500002,9,26.913659
1.2922529,11,26.9811
1.1,7,27.022508
3.7770808,11,27.094728
0.44999993,9,27.154003
1.8,7,27.1987
2.35,7,27.236109
2.95,8,27.282
2.3,8,27.321709
1.65,8,27.362406
1.7,8,27.408553
0.9499999,9,27.455206
1.05,8,27.499464
4.35,9,27.54241
0.35,10,27.593667
1.0,10,27.637024
5.7514124,10,27.688563
0.5,9,27.744277
0.54999995,8,27.788335
-1.4901161e-08,9,27.839166
3.5125036,10,27.922377
1.5999999,8,27.992521
2.7631474,10,28.080975
1.75,11,28.173668
1.15,7,28.221292
1.7500001,8,28.27698
5.731354,10,28.336658
